254,"Sheffield, Gary",Detroit Tigers,OF,13326306.00,a,1
255,"Rodriguez, Ivan",Detroit Tigers,C,12379883.00,a,1
256,"Guillen, Carlos",Detroit Tigers,SS,12000000.00,a,1
257,"Cabrera, Miguel",Detroit Tigers,3B,11300000.00,a,1
258,"Renteria, Edgar",Detroit Tigers,SS,10000000.00,a,1
259,"Bonderman, Jeremy",Detroit Tigers,P,8500000.00,a,1
260,"Rogers, Kenny",Detroit Tigers,P,8000000.00,a,1
261,"Jones, Todd",Detroit Tigers,P,7000000.00,a,1
262,"Willis, Dontrelle",Detroit Tigers,P,7000000.00,a,1
263,"Jones, Jacque",Detroit Tigers,OF,6333333.00,a,1
264,"Inge, Brandon",Detroit Tigers,3B,6200000.00,a,1
265,"Polanco, Placido",Detroit Tigers,2B,4600000.00,a,1
266,"Robertson, Nate",Detroit Tigers,P,4250000.00,a,1
267,"Rodney, Fernando",Detroit Tigers,P,1700000.00,a,1
268,"Thames, Marcus",Detroit Tigers,OF,1275000.00,a,1
269,"Verlander, Justin",Detroit Tigers,P,1130000.00,a,1
270,"Granderson, Curtis",Detroit Tigers,OF,1000000.00,a,1
271,"Wilson, Vance",Detroit Tigers,C,950000.00,a,0
272,"Seay, Bobby",Detroit Tigers,P,780000.00,a,0
273,"Santiago, Ramon",Detroit Tigers,SS,575000.00,a,0
274,"Grilli, Jason",Detroit Tigers,P,420000.00,a,0
275,"Zumaya, Joel",Detroit Tigers,P,420000.00,a,0
276,"Miner, Zach",Detroit Tigers,P,410000.00,a,0
277,"Lopez, Aquilino",Detroit Tigers,P,400000.00,a,0
278,"Raburn, Ryan",Detroit Tigers,OF,396000.00,a,0
279,"Bautista, Denny",Detroit Tigers,P,395000.00,a,0
280,"Bazardo, Yorman",Detroit Tigers,P,395000.00,a,0
281,"Tata, Jordan",Detroit Tigers,P,391500.00,a,0
282,"Thomas, Clete",Detroit Tigers,OF,390000.00,a,0
283,"Gregg, Kevin",Florida Marlins,P,2500000.00,n,1
284,"Miller, Andrew",Florida Marlins,P,2212500.00,n,1
285,"Gonzalez, Luis E.",Florida Marlins,OF,2000000.00,n,1
286,"Hendrickson, Mark",Florida Marlins,P,1500000.00,n,1
287,"Mitre, Sergio",Florida Marlins,P,1200000.00,n,1
288,"Amezaga, Alfredo",Florida Marlins,SS,945000.00,n,0
289,"Miller, Justin",Florida Marlins,P,750000.00,n,0
290,"Treanor, Matt",Florida Marlins,C,705000.00,n,0
291,"Cantu, Jorge",Florida Marlins,2B,500000.00,n,0
292,"Ramirez, Hanley",Florida Marlins,SS,439000.00,n,0
293,"Uggla, Dan",Florida Marlins,2B,417000.00,n,0
294,"Olsen, Scott",Florida Marlins,P,405000.00,n,0
295,"Willingham, Josh",Florida Marlins,OF,405000.00,n,0
296,"Gardner, Lee",Florida Marlins,P,402500.00,n,0
297,"Hermida, Jeremy",Florida Marlins,OF,395000.00,n,0
298,"Jacobs, Mike",Florida Marlins,1B,395000.00,n,0
299,"Lindstrom, Matt",Florida Marlins,P,395000.00,n,0
300,"Tankersley, Taylor",Florida Marlins,P,392500.00,n,0
301,"Pinto, Renyel",Florida Marlins,P,391500.00,n,0
302,"Vandenhurk, Henricus",Florida Marlins,P,391500.00,n,0
303,"Andino, Robert",Florida Marlins,SS,390000.00,n,0
304,"Carroll, Brett",Florida Marlins,OF,390000.00,n,0
305,"De Aza, Alejandro",Florida Marlins,OF,390000.00,n,0
306,"Garcia, Harvey",Florida Marlins,P,390000.00,n,0
307,"Hoover, Paul",Florida Marlins,C,390000.00,n,0
308,"Johnson, Josh",Florida Marlins,P,390000.00,n,0
309,"Kensing, Logan",Florida Marlins,P,390000.00,n,0
310,"Nolasco, Ricky",Florida Marlins,P,390000.00,n,0
311,"Owens, Henry",Florida Marlins,P,390000.00,n,0
312,"Rabelo, Mike",Florida Marlins,C,390000.00,n,0
313,"Ross, Cody",Florida Marlins,OF,390000.00,n,0
314,"Sanchez, Anibal",Florida Marlins,P,390000.00,n,0
315,"Wood, Jason",Florida Marlins,SS,390000.00,n,0
316,"Tejada, Miguel",Houston Astros,SS,14811414.00,n,1
317,"Berkman, Lance",Houston Astros,1B,14500000.00,n,1
318,"Oswalt, Roy",Houston Astros,P,13000000.00,n,1
319,"Lee, Carlos",Houston Astros,OF,12500000.00,n,1
320,"Matsui, Kazuo",Houston Astros,2B,5500000.00,n,1
321,"Valverde, Jose",Houston Astros,P,4700000.00,n,1
322,"Wiggington, Ty",Houston Astros,3B,4350000.00,n,1
323,"Loretta, Mark",Houston Astros,2B,2750000.00,n,1
324,"Brocail, Doug",Houston Astros,P,2500000.00,n,1
325,"Ausmus, Brad",Houston Astros,C,2000000.00,n,1
326,"Chacon, Shawn",Houston Astros,P,2000000.00,n,1
327,"Geary, Geoff",Houston Astros,P,1125000.00,n,1
328,"Villarreal, Oscar",Houston Astros,P,1125000.00,n,1
329,"Blum, Geoff",Houston Astros,2B,1100000.00,n,1
330,"Erstad, Darin",Houston Astros,1B,1000000.00,n,1
331,"Backe, Brandon",Houston Astros,P,800000.00,n,0
332,"Borkowski, Dave",Houston Astros,P,800000.00,n,0
333,"Cruz Jr., Jose",Houston Astros,OF,650000.00,n,0
334,"Moehler, Brian",Houston Astros,P,500000.00,n,0
335,"Rodriguez, Wandy",Houston Astros,P,451000.00,n,0
336,"Quintero, Humberto",Houston Astros,C,405000.00,n,0
337,"Sampson, Chris",Houston Astros,P,401000.00,n,0
338,"Bourn, Michael",Houston Astros,OF,396000.00,n,0
339,"Pence, Hunter",Houston Astros,OF,396000.00,n,0
340,"Paulino, Felipe",Houston Astros,P,390000.00,n,0
341,"Towles, JR",Houston Astros,C,390000.00,n,0
342,"Wright, Wesley",Houston Astros,P,390000.00,n,0
343,"Guillen, Jose",Kansas City Royals,OF,12000000.00,a,1
344,"Meche, Gil",Kansas City Royals,P,11400000.00,a,1
345,"Grudzielanek, Mark",Kansas City Royals,2B,4500000.00,a,1
346,"Mahay, Ron",Kansas City Royals,P,4000000.00,a,1
347,"Tomko, Brett",Kansas City Royals,P,3000000.00,a,1
348,"DeJesus, David",Kansas City Royals,OF,2500000.00,a,1
349,"Yabuta, Yasuhiko",Kansas City Royals,P,2500000.00,a,1
350,"Teahen, Mark",Kansas City Royals,OF,2337500.00,a,1
351,"Bale, John",Kansas City Royals,P,2200000.00,a,1
352,"Buck, John",Kansas City Royals,C,2200000.00,a,1
353,"Olivo, Miguel",Kansas City Royals,C,2050000.00,a,1
354,"Greinke, Zack",Kansas City Royals,P,1400000.00,a,1
355,"Gobble, Jimmy",Kansas City Royals,P,1312500.00,a,1
356,"Gload, Ross",Kansas City Royals,1B,1300000.00,a,1
357,"German, Esteban",Kansas City Royals,3B,1000000.00,a,1
358,"Hudson, Luke",Kansas City Royals,P,475000.00,a,0
359,"Gathright, Joey",Kansas City Royals,OF,427000.00,a,0
360,"Soria, Joakim",Kansas City Royals,P,426500.00,a,0
361,"Bannister, Brian",Kansas City Royals,P,421000.00,a,0
362,"Gordon, Alex",Kansas City Royals,3B,406000.00,a,0
363,"Nunez, Leo",Kansas City Royals,P,405000.00,a,0
364,"Pena Jr., Tony",Kansas City Royals,SS,405000.00,a,0
365,"Butler, Billy",Kansas City Royals,1B,399000.00,a,0
366,"Ramirez, Ramon",Kansas City Royals,P,397000.00,a,0
367,"Callaspo, Alberto",Kansas City Royals,2B,394000.00,a,0
368,"Tupman, Matt",Kansas City Royals,C,390000.00,a,0
369,"Hunter, Torii",Los Angeles Angels,OF,16500000.00,a,1
370,"Guerrero, Vladimir",Los Angeles Angels,OF,15500000.00,a,1
371,"Anderson, Garrett",Los Angeles Angels,OF,12600000.00,a,1
372,"Garland, Jon",Los Angeles Angels,P,12000000.00,a,1
373,"Rodriguez, Francisco",Los Angeles Angels,P,10000000.00,a,1
374,"Escobar, Kelvim",Los Angeles Angels,P,9500000.00,a,1
375,"Matthews, Gary",Los Angeles Angels,OF,9400000.00,a,1
376,"Lackey, John",Los Angeles Angels,P,7333333.00,a,1
377,"Figgins, Chone",Los Angeles Angels,3B,4750000.00,a,1
378,"Shields, Scot",Los Angeles Angels,P,4250000.00,a,1
379,"Speier, Justin",Los Angeles Angels,P,4250000.00,a,1
380,"Rivera, Juan",Los Angeles Angels,OF,2025000.00,a,1
381,"Oliver, Darren",Los Angeles Angels,P,2000000.00,a,1
382,"Kotchman, Casey",Los Angeles Angels,1B,1450000.00,a,1
383,"Izturis, Maicer",Los Angeles Angels,SS,1200000.00,a,1
384,"Quinlan, Robb",Los Angeles Angels,1B,1050000.00,a,1
385,"Weaver, Jered",Los Angeles Angels,P,435000.00,a,0
386,"Kendrick, Howie",Los Angeles Angels,2B,432500.00,a,0
387,"Willits, Reggie",Los Angeles Angels,OF,432500.00,a,0
388,"Napoli, Mike",Los Angeles Angels,C,425000.00,a,0
389,"Saunders, Joe",Los Angeles Angels,P,425000.00,a,0
390,"Moseley, Dustin",Los Angeles Angels,P,420000.00,a,0
391,"Santana, Ervin",Los Angeles Angels,P,420000.00,a,0
392,"Aybar, Erick",Los Angeles Angels,SS,415000.00,a,0
393,"Bootcheck, Chris",Los Angeles Angels,P,415000.00,a,0
394,"Mathis, Jeff",Los Angeles Angels,C,415000.00,a,0
395,"Bulger, Jason",Los Angeles Angels,P,392000.00,a,0
396,"Thompson, Rich G.",Los Angeles Angels,P,391000.00,a,0
397,"O'Day, Darren",Los Angeles Angels,P,390000.00,a,0
398,"Furcal, Rafael",Los Angeles Dodgers,SS,15730195.00,n,1
399,"Schmidt, Jason",Los Angeles Dodgers,P,15217401.00,n,1
400,"Jones, Andruw",Los Angeles Dodgers,OF,14726910.00,n,1
401,"Lowe, Derek",Los Angeles Dodgers,P,10000000.00,n,1
402,"Garciaparra, Nomar",Los Angeles Dodgers,1B,9516697.00,n,1
403,"Penny, Brad",Los Angeles Dodgers,P,9250000.00,n,1
404,"Kent, Jeff",Los Angeles Dodgers,2B,9000000.00,n,1
405,"Pierre, Juan",Los Angeles Dodgers,OF,8000000.00,n,1
406,"Loaiza, Esteban",Los Angeles Dodgers,P,7500000.00,n,1
407,"Kuroda, Hiroki",Los Angeles Dodgers,P,7433333.00,n,1
408,"Saito, Takashi",Los Angeles Dodgers,P,2000000.00,n,1
409,"Beimel, Joe",Los Angeles Dodgers,P,1925000.00,n,1
410,"Proctor, Scott",Los Angeles Dodgers,P,1115000.00,n,1
411,"Bennett, Gary",Los Angeles Dodgers,C,825000.00,n,0
412,"Sweeney, Mark",Los Angeles Dodgers,1B,600000.00,n,0
413,"Martin, Russell",Los Angeles Dodgers,C,500000.00,n,0
